Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Electromagnetic probes,poster,Measurement of Low Mass Electron-Positron Pairs with ALICE,"Baumann, Christoph","IKF, Goethe-Universität Frankfurt",Unknown,"The ALICE experiment at the CERN-LHC is dedicated to study the properties of the Quark-Gluon Plasma created in ultrarelativistic heavy-ion collisions. Low-mass electron-positron pairs are 
an excellent probe for all stages of the collision because they do not undergo strong final state interactions. With its unique tracking and particle identification capabilites extending to very low momenta, ALICE is excellently suited for these measurements. We will present first results on the production of low-mass electron-positron pairs at mid-rapidity in pp collisions at sqrt(s) = 7 TeV measured in ALICE and give an outlook on the low-mass program for Pb-Pb data.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christoph', 'last_name': 'Baumann', 'fullName': 'Baumann, Christoph', 'id': '1897600', 'affiliation': 'IKF, Goethe-Universität Frankfurt', 'emailHash': '1b6e7b8c7e8375d8f9dad9a12836c2ae', 'db_id': 1897600, 'person_id': 2047635}"
QCD at high temperature and density,poster,On the fluctuation-dissipation theorem for soft fermionic excitations in a hot QCD plasma,"Markova, Margaret",Institute for System Dynamics and Control Theory,Unknown,"Two ways of deriving the fluctuation-dissipation theorem (FDT) for soft fermion excitations in a hot non-Abelian plasma being in a thermal equilibrium are discussed. The first of them is based on the extended (pseudo)classical model in describing a quark-gluon suggested by us, while the second one rests on the standard technique of  calculation of the FDT for thermodynamically equilibrium systems. It is shown that the full accounting all subtleties that are common to the fermion system under consideration , results in perfect coincidence of thus obtained FDTs. This provides a rather strong argument for the validity of the pseudoclassical model suggested.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Margaret', 'last_name': 'Markova', 'fullName': 'Markova, Margaret', 'id': '1897596', 'affiliation': 'Institute for System Dynamics and Control Theory', 'emailHash': '23933409285957466544719ebea6ee03', 'db_id': 1897596, 'person_id': 2047633}"
QCD at high temperature and density,poster,The Single Flavor Color Superconductivity in a Magnetic Field.,"Feng, Bo",University od Texas at El Paso,USA,"We investigate the single flavor color superconductivity in a magnetic field. Because of the absence of the electromagnetic Meissner effect, forming a nonspherical CSC phase, polar, A or planar, does not cost energy of excluding magnetic flux. We found that these nonspherical phases do occupy a significant portion of the phase diagram with respect to magnetic field and temperature and may be implemented under the typical quark density and the magnetic field inside a compact star.
Published in Phys.Rev.Lett.105:042001,2010.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bo', 'last_name': 'Feng', 'fullName': 'Feng, Bo', 'id': '1897587', 'affiliation': 'University od Texas at El Paso', 'emailHash': '02f8d5dd27bc3c26219a18948babd5a5', 'db_id': 1897587, 'person_id': 2047629}"
Jets,poster,Flow-Driven Conical Correlations in Heavy-Ion Collisions,"Betz, Barbara",Columbia University,USA,"We use (3+1)-dimensional hydrodynamic simulations to describe 
the propagation of a jet through an opaque medium and to investigate 
the underlying jet-medium interactions. We discuss that the 
double-peaked structure seen in the two-particle correlations 
measured at the Relativistic Heavy Ion Collider (RHIC), suggested as a signal for the creation of a Mach cone, can arise due to the averaging over many events in a transversally expanding background. We find that the jet-induced away-side yields are quite insensitive to different energy and momentum loss scenarios, different jet velocities, and system sizes. Our claim can be experimentally distinguished from a 'true' Mach cone by analyzing hard-soft correlations induced by heavy-flavor jets, in particular 
by verifying that the double-peak structure stays the same even 
if the heavy quarks move subsonically.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Barbara', 'last_name': 'Betz', 'fullName': 'Betz, Barbara', 'id': '1897581', 'affiliation': 'Columbia University', 'emailHash': '5a5e5968269911ecb1757a3d6486a007', 'db_id': 1897581, 'person_id': 2047627}"
Jets,poster,Mach Cone Induced by γ-Triggered Jets in High-Energy Heavy-Ion Collisions,"Zhu, Yan",University of Bielefeld,Unknown,"Medium excitation by jet shower propagation inside a quark-gluon plasma is studied within a linear Boltzmann transport and a multiphase transport model. Contrary to the naive expectation, it is the deflection of both the jet shower and the Mach-cone-like excitation in an expanding medium that is found to give rise to a double-peak azimuthal particle distribution with respect to the initial jet direction. Such a deflection is the strongest for hadron-triggered jets which are often produced close to the surface of a dense medium due to trigger bias and travel against or tangential to the radial flow. Without such trigger bias, the effect of deflection on γ-jet showers and their medium excitation is weaker. Comparative study of hadron and γ-triggered particle correlations can therefore reveal the dynamics of jet-induced medium excitation in high-energy heavy-ion collisions.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yan', 'last_name': 'Zhu', 'fullName': 'Zhu, Yan', 'id': '1897580', 'affiliation': 'University of Bielefeld', 'emailHash': 'f0e17db79c3136c8517a7b6a35b8736f', 'db_id': 1897580, 'person_id': 2047626}"
Heavy flavor and quarkonia production,poster,The Subleading Term of the Strong Coupling Expansion of the Heavy-Quark Potential,"Hou, Defu",Central China Normal University,Unknown,"Applying the AdS/CFT correspondence, the expansion of the
heavy-quark potential of the ${\cal N}$ supersymmetric Yang-Mills
theory at large $N_c$ is carried out to the sub-leading term in the
large 't Hooft coupling at both zero and nonzero temperatures. The strong coupling
corresponds to the semi-classical expansion of the string-sigma
model, the gravity dual of the Wilson loop operator, with the
sub-leading term expressed in terms of functional determinants of
fluctuations. The contribution of these determinants are evaluated
numerically.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Defu', 'last_name': 'Hou', 'fullName': 'Hou, Defu', 'id': '1897576', 'affiliation': 'Central China Normal University', 'emailHash': '0e31847c780e4b13fe2812b10d01b8c3', 'db_id': 1897576, 'person_id': 2047622}"
Jets,poster,Production of Neutral Mesons Identified by ALICE-PHOS in Pb-Pb collisions at sqrt{s_{NN}}=2.76TeV,"Torii, Hisayuki",University of Tokyo,Unknown,"The finely segmented structure and small Moliere radius of the ALICE-PHOS detector allows to separate two photons from a pi^{0} decay at pT=30 GeV/c with an efficiency of about 100%; at even higher pT with smaller efficiency.

In this poster, we will present the pi0 production yield measurement with the ALICE-PHOS detector in various centralities in Pb+Pb collisions at sqrt{s_{NN}}=2.76TeV. By comparing the production yield in peripheral collisions to that in pp collisions, we will discuss possible cold nuclear matter effects. The RAA and RCP ratio of pi0 will be presented to be compared with previous results at SPS and RHIC.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hisayuki', 'last_name': 'Torii', 'fullName': 'Torii, Hisayuki', 'id': '1897569', 'affiliation': 'University of Tokyo', 'emailHash': 'ebee7bb3b1bcf0a2bcf2be3061fe41bb', 'db_id': 1897569, 'person_id': 2047618}"
Electromagnetic probes,poster,Nuclear modification factor in an anisotropic Quark-Gluon-Plasma,"Bhattacharya, Lusaka",Saha Institute of Nuclear Physics,UK,"We calculate the nuclear modification factor ($R_{AA}$) of light
hadrons by taking into account the initial state momentum
anisotropy of the quark gluon plasma (QGP) expected to be formed in
relativistic heavy ion collisions. 
Such an anisotropy can result from the 
initial rapid longitudinal expansion of the matter.
A phenomenological model for the space time evolution of the
anisotropic QGP is used to obtain the time dependence of the
anisotropy parameter $\xi$ and the hard momentum scale, $p_{\rm hard}$. 
The result is then compared with the PHENIX experimental data to
constrain the isotropization time scale, $\tau_{\rm iso}$.
It is shown that the extracted value of $\tau_{\rm iso}$ lies in the
range $0.5 \leq \tau_{\rm iso} \leq 1.5$. 
The present calculation is also extended to contrast with
the recent measurement of nuclear modification factor by ALICE
collaboration at $\sqrt{s}=2.76$ TeV. It is argued that similar
values of $\tau_{\rm iso}$ are closer to the data. The sensitivity of 
the results on the initial conditions has been discussed. We also present
the nuclear modification factor at LHC energies with $\sqrt{s} = 5.5$ TeV.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Lusaka', 'last_name': 'Bhattacharya', 'fullName': 'Bhattacharya, Lusaka', 'id': '1897565', 'affiliation': 'Saha Institute of Nuclear Physics', 'emailHash': '8d327d5f240c34b711560506272a9039', 'db_id': 1897565, 'person_id': 2047615}"
QCD phase diagram,poster,Study of the expansion and the phase transition of a quark plasma to an hadron phase with the NJL model using a new QMD approach.,"Marty, Rudy",Subatech,Unknown,"One of the challenges of present day in nuclear physics is the understanding of the phase transition between the quark gluon plasma and the hadronic world. We can divide space into cells to create a lattice of partons, or describe the transformation of energy via the Cooper-Frye formula, but in these cases we miss some dynamical aspects.

That is why I will present a study of the expansion and the phase transition with a QCD inspired model : the Nambu-Jona-Lasinio (NJL) model. This model is particularly useful to describe quark matter at low temperature (below Λ_QCD). It provides an effective mass at finite (T,μ), and then cross sections and decay widths for hadrons (possible mixed phase).

Recent results are presented using these data within a Quantum Molecular Dynamics (QMD) code. This code is designed for local interactions at finite (T,μ). It is a fully relativistic code which is Lorentz invariant and avoids the No Interaction Theorem in a different way than previous similar attempts.

Finally we know that there are correlations inside the plasma before the phase transition. We discuss how this scenario can be modeled with these tools to understand this transition in detail and to find observables which distinguish between the different approaches.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rudy', 'last_name': 'Marty', 'fullName': 'Marty, Rudy', 'id': '1897559', 'affiliation': 'Subatech', 'emailHash': 'd4178f96ddb5c5cbb5c4a77090fc326e', 'db_id': 1897559, 'person_id': 2047613}"
Heavy flavor and quarkonia production,poster,Characterizing quark gluon plasma by Heavy Flavors,"das, santosh K",Variable Energy Cyclotron Centre,Unknown,"The drag and diffusion coefficients of charm and bottom quarks propagating
through quark gluon plasma (QGP) have been evaluated for conditions
relevant to  nuclear collisions at Large Hadron Collider (LHC)
and at Relativistic Heavy Ion Collision (RHIC).
The  dead cone and Landau-Pomeronchuk-Migdal (LPM) effects on 
radiative energy loss of heavy quarks have been considered. 
Both radiative and collisional processes of energy loss are included
in the {\it effective} drag and diffusion coefficients. 
With these effective transport coefficients we solve the Fokker Plank (FP)
equation for the heavy quarks executing Brownian motion
in the QGP. The solution of the FP equation has been used to
evaluate the nuclear suppression factor, $R_{\mathrm AA}$  and elliptic flow $v_2 $ for the
non-photonic single electron spectra resulting from the semi-leptonic decays 
of hadrons containing charm and bottom quarks. It is observed that
the experimental data from RHIC on $R_{\mathrm AA}$  and $v_2 $ 
of nonphotonic electrons can be reproduced simultaneously within the 
pQCD framework for the same set of input. The $R_{\mathrm AA}$  and $v_2 $ of the 
non-photonic electron from heavy meson 
decays produced in  nuclear collisions at LHC and  low energy RHIC 
run have also been predicted.The effects of mass on $R_{\mathrm AA}$ 
has also been highlighted.","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'santosh K', 'last_name': 'das', 'fullName': 'das, santosh K', 'id': '1897553', 'affiliation': 'Variable Energy Cyclotron Centre', 'emailHash': '0f0ff22385a03f7bee086740eea5ad13', 'db_id': 1897553, 'person_id': 2047357}"
Electromagnetic probes,poster,Di-electron analysis in Au+Au collisions using the PHENIX Hadron Blind Detector,"Atomssa, Ermias T.",Stony Brook University,USA,"The di-electron spectrum is rich with physics signals that assist the characterisation of the medium created in A+A collisions. The measurement, especially at low mass, is however complex due to a very low signal to background ratio. PHENIX has shown in the past that despite this difficulty, it is possible to learn for example about open charm production [1] or direct photons [2].

The Hadron Blind Detector (HBD) was built, installed and operated by PHENIX with the objective of reducing the combinatorial background of the di-electron spectrum. This background comes mainly from conversions and Dalitz decay electrons, most significantly, when one leg of the pair was swept out of the acceptance by the magnetic field, and thus contributes only to the combinatorial background. Current
status of the efforts in analyzing the data taken with this detector in Au+Au collisions at 200~GeV will be shown.

References
[1] Phys. Lett. B 670, 313 (2009)
[2] Phys. Rev. Lett. 104, 132301 (2010)","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ermias T.', 'last_name': 'Atomssa', 'fullName': 'Atomssa, Ermias T.', 'id': '1897547', 'affiliation': 'Stony Brook University', 'emailHash': '295a42c30179cb5da103b5b870bee234', 'db_id': 1897547, 'person_id': 2047606}"
Pre-equilibrium and initial state physics,poster,Effects of parton radiative processes on Quark-Gluon Plasma thermalization,"Zhang, Bin",Arkansas State University,USA,"Radiative processes and dynamical screening are important for a precise description of the dynamics of relativistic heavy ion collisions. When evolutions from inside-outside and thermal initial conditions are compared, the parton system produced in relativistic heavy ion collisions is found to be able to overcome expansion and move toward thermalization via parton collisions. Scaling behaviors show up in both the pressure anisotropy and the energy density evolutions. In particular, the pressure anisotropy evolution shows an approximate coupling constant scaling when radiative processes are included. It approaches an asymptotic time evolution on a time scale of 1 to 2 fm/c. The energy density evolution approaches an asymptotic time evolution that decreases slower than the ideal hydro evolution. These observations indicate that partial thermalization can be achieved and viscosity is important for the evolution during the early longitudinal expansion phase of a relativistic heavy ion collision.

Radiative processes are the driving force behind gluon chemical equilibration. The effects of these processes, or of chemical equilibration, on kinetic equilibration can be studied by comparing the evolution with only the elastic process to that including radiative processes. When the initial condition is close to chemical equilibrium, the opening up of the inelastic channels leads to more kinetic equilibration. If the initial condition is highly undersaturated, the additional production of particles quickly leads to smaller cross sections that counteract the increase in the particle number. Then kinetic equilibration is less sensitive to whether there are radiative processes. On the other hand, kinetic equilibration also affects chemical equilibration. As expected, when there are only elastic processes, the system goes farther and farther away from chemical equilibrium. It is interesting to see that systems with the same initial fugacity but different initial pressure anisotropies have different early fugacity evolutions.

In addition to the interplay between chemical equilibration and kinetic equilibration, the pressure anisotropy difference evolution for systems starting from different initial pressure anisotropies is studied to gain better insight into the approach to the asymptotic evolution. The difference evolution is found to follow an exponential proper time dependence after a short period of time. In the case that includes radiative processes, the larger the coupling constant or the larger the initial energy density, the faster the difference decreases. The evolution curves for different coupling constants and initial energy densities appear to come from the same point. Pressure anisotropy evolutions from thermal initial conditions and Color Glass Condensate motivated initial conditions are compared to study the effects of initial particle momentum distribution. Radiative processes are again shown to make a big difference in system evolution. When only the gluon elastic process is included, kinetic equilibration is sensitive to the initial momentum distribution. If radiative processes are included, the pressure anisotropy evolution is robust against changes in the initial momentum distribution.

Reference:
Parton radiative processes and pressure isotropization in relativistic heavy ion collisions, Bin Zhang, Warner A. Wortman, Phys. Lett. B 693, 24 (2010).","{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bin', 'last_name': 'Zhang', 'fullName': 'Zhang, Bin', 'id': '1897541', 'affiliation': 'Arkansas State University', 'emailHash': 'e107ba51c5fd89dc508580d45195c95f', 'db_id': 1897541, 'person_id': 2047117}"
