Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Jet modifications and high-pT hadrons,parallel,JETSCAPE 1.0: The first software release of the JETSCAPE collaboration,"Kauder, Kolja",Wayne State University,United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kolja', 'last_name': 'Kauder', 'fullName': 'Kauder, Kolja', 'id': '3644366', 'affiliation': 'Wayne State University', 'emailHash': '52c8368a4c65978926d2fba88c228dd0', 'db_id': 3644366, 'person_id': 3824417}"
Phase diagram and search for the critical point,parallel,Baryon clustering near a (hypothetical) QCD critical point I,"Shuryak, Edward",stony brook university,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Edward', 'last_name': 'Shuryak', 'fullName': 'Shuryak, Edward', 'id': '3528595', 'affiliation': 'stony brook university', 'emailHash': 'c1ac264884f526687b2f741ea3a9a98b', 'db_id': 3528595, 'person_id': 3641740}"
"Chirality, vorticity and polarisation effects",parallel,Relativistic hydrodynamics with spin,"Florkowski, Wojciech","Institute of nuclear Physics, Krakow",UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wojciech', 'last_name': 'Florkowski', 'fullName': 'Florkowski, Wojciech', 'id': '3528642', 'affiliation': 'Institute of nuclear Physics, Krakow', 'emailHash': 'b0bec4b17ad65c9ae09dea09a55d59da', 'db_id': 3528642, 'person_id': 3637028}"
"Chirality, vorticity and polarisation effects",parallel,Quantitative Predictions for the Chiral Magnetic Effect with Event-By-Event Anomalous Viscous Fluid Dynamics from AuAu to Isobaric Collisions at RHIC,"Liao, Jinfeng",Indiana University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jinfeng', 'last_name': 'Liao', 'fullName': 'Liao, Jinfeng', 'id': '3528644', 'affiliation': 'Indiana University', 'emailHash': '83f6cd04fabc597b1565a1290a8015ab', 'db_id': 3528644, 'person_id': 3638584}"
"Chirality, vorticity and polarisation effects",parallel,Search for the Chiral Magnetic Wave with Anisotropic Flow of Identified Particles at RHIC-STAR,"Shou, Qiye",SINAP/BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Qiye', 'last_name': 'Shou', 'fullName': 'Shou, Qiye', 'id': '3580453', 'affiliation': 'SINAP/BNL', 'emailHash': 'faa774cb9edc9cd70ef3eda1e3ccf66b', 'db_id': 3580453, 'person_id': 3763524}"
Initial state physics and approach to equilibrium,parallel,Breaking Boost Invariance: IP-Glasma Phenomenology Beyond 2D,"McDonald, Scott",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Scott', 'last_name': 'McDonald', 'fullName': 'McDonald, Scott', 'id': '3528937', 'affiliation': 'McGill University', 'emailHash': 'ad487c3a8a263e3b3435eb0b00456904', 'db_id': 3528937, 'person_id': 3641483}"
"Chirality, vorticity and polarisation effects",parallel,Lambda polarization in heavy ion collisions: from RHIC BES to LHC energies,"Karpenko, Iurii",SUBATECH Nantes,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Iurii', 'last_name': 'Karpenko', 'fullName': 'Karpenko, Iurii', 'id': '3528660', 'affiliation': 'SUBATECH Nantes', 'emailHash': '5501c33bc03ff4bfa730e4170f8a0a6c', 'db_id': 3528660, 'person_id': 3642509}"
"Chirality, vorticity and polarisation effects",parallel,Phi Meson and K* Spin Alignment in High Energy Nuclear Collisions at STAR,"Zhou, Chensheng",SINAP/BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chensheng', 'last_name': 'Zhou', 'fullName': 'Zhou, Chensheng', 'id': '3580436', 'affiliation': 'SINAP/BNL', 'emailHash': 'a92da18e16e9a125e8b149a1d919a717', 'db_id': 3580436, 'person_id': 3763512}"
"Chirality, vorticity and polarisation effects",parallel,ALICE constraints on the chiral magnetic effect from charge-dependent azimuthal correlations with identified hadrons,"Haque, Rihan",Nikhef National institute  for subatomic physics (NL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Rihan', 'last_name': 'Haque', 'fullName': 'Haque, Rihan', 'id': '3553609', 'affiliation': 'Nikhef National institute  for subatomic physics (NL)', 'emailHash': '37f7041f169d922b64c8aac8b435d4db', 'db_id': 3553609, 'person_id': 3737549}"
Collective dynamics,parallel,Elucidating the properties of hot nuclear matter with a comprehensive description of ultra-relativistic heavy-ion collisions,"Schenke, Bjoern",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bjoern', 'last_name': 'Schenke', 'fullName': 'Schenke, Bjoern', 'id': '3528692', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': '4a88eb902ae580760430eaf0464746cf', 'db_id': 3528692, 'person_id': 3642128}"
Collective dynamics,parallel,NA61/SHINE​ ​measurements​ ​of​​ anisotropic​​ flow​ relative​​ to​​ the​ ​spectator plane​ ​in​ ​Pb-Pb​ ​collisions​ ​over​ a wide​ ​rapidity​ ​range,"Klochkov, Viktor",GSI / Frankfurt Uni,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Viktor', 'last_name': 'Klochkov', 'fullName': 'Klochkov, Viktor', 'id': '3528698', 'affiliation': 'GSI / Frankfurt Uni', 'emailHash': 'b3fdf8edf149538143e5b7f16b53ded8', 'db_id': 3528698, 'person_id': 3643833}"
Collective dynamics,parallel,Correlation between higher order flow harmonics and their non-linear modes for (un)identified charged hadrons in Pb-Pb collisions measured with ALICE,"Mohammadi, Naghmeh",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Naghmeh', 'last_name': 'Mohammadi', 'fullName': 'Mohammadi, Naghmeh', 'id': '3553616', 'affiliation': 'CERN', 'emailHash': '24c9d13684e56502fd673207c63f315f', 'db_id': 3553616, 'person_id': 3737558}"
Collective dynamics,parallel,Collectivity from interference,"Blok, Boris",Technion,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Boris', 'last_name': 'Blok', 'fullName': 'Blok, Boris', 'id': '3528703', 'affiliation': 'Technion', 'emailHash': 'd61c7326896aab7d74f19034822522ec', 'db_id': 3528703, 'person_id': 3639091}"
Initial state physics and approach to equilibrium,parallel,"ALICE results on system-size dependence of the charged-particle multiplicity density in p-Pb, Pb-Pb and Xe-Xe collisions","Kim, Beomkyu",Inha University (KR),Fi,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Beomkyu', 'last_name': 'Kim', 'fullName': 'Kim, Beomkyu', 'id': '3626095', 'affiliation': 'Inha University (KR)', 'emailHash': '25e3a5c401e494cafda3035e6dac753a', 'db_id': 3626095, 'person_id': 3807272}"
Jet modifications and high-pT hadrons,parallel,Studies of jet grooming and recursive splittings in pp and PbPb collisions with ALICE,"Andrews, Harry Arthur",University of Birmingham (GB),UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Harry Arthur', 'last_name': 'Andrews', 'fullName': 'Andrews, Harry Arthur', 'id': '3553743', 'affiliation': 'University of Birmingham (GB)', 'emailHash': '10e3ea462bf6540143928aef0ea761b1', 'db_id': 3553743, 'person_id': 3737653}"
Initial state physics and approach to equilibrium,parallel,Nonequilibrium quark production in the expanding QCD plasma,"Tanji, Naoto",ECT*,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Naoto', 'last_name': 'Tanji', 'fullName': 'Tanji, Naoto', 'id': '3528959', 'affiliation': 'ECT*', 'emailHash': '12622a514e354c210a099dced7dc53d0', 'db_id': 3528959, 'person_id': 3640743}"
Collective dynamics,parallel,Testing the system size dependence of hydrodynamical expansion and thermal particle production with identified particle measurements in Xe-Xe and Pb-Pb collisions with ALICE,"Bellini, Francesca",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Francesca', 'last_name': 'Bellini', 'fullName': 'Bellini, Francesca', 'id': '3553618', 'affiliation': 'CERN', 'emailHash': 'd7b6814870a6d7f56250f308bcc8b32f', 'db_id': 3553618, 'person_id': 3737560}"
Initial state physics and approach to equilibrium,parallel,Hadronic observables in small collisions systems from classical Yang-Mills dynamics + Lund string fragmentation,"Tribedy, Prithwish",Brookhaven National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Prithwish', 'last_name': 'Tribedy', 'fullName': 'Tribedy, Prithwish', 'id': '3528962', 'affiliation': 'Brookhaven National Lab', 'emailHash': '831402c0f2ca5de3ec22ab9404b98dc0', 'db_id': 3528962, 'person_id': 3643085}"
New theoretical developments,parallel,Hydrodynamization and Attractors at Intermediate Coupling,"Meiring, Ben",University of Oxford,UK,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ben', 'last_name': 'Meiring', 'fullName': 'Meiring, Ben', 'id': '3529037', 'affiliation': 'University of Oxford', 'emailHash': '4857cc419953432a18c7876bec711ff3', 'db_id': 3529037, 'person_id': 3645577}"
Collective dynamics,parallel,Measurements of anisotropic flow and flow fluctuations in Xe-Xe and Pb-Pb collisions with ALICE,"Margutti, Jacopo",Utrecht University (NL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jacopo', 'last_name': 'Margutti', 'fullName': 'Margutti, Jacopo', 'id': '3553625', 'affiliation': 'Utrecht University (NL)', 'emailHash': '2640265b207c2fd801e7c3bee3db0a32', 'db_id': 3553625, 'person_id': 3737567}"
Collective dynamics,parallel,Measurement of collective flow in XeXe collisions at 5.44 TeV with the CMS experiment,"Stojanovic, Milan",University of Belgrade (RS),United States,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Milan', 'last_name': 'Stojanovic', 'fullName': 'Stojanovic, Milan', 'id': '3586937', 'affiliation': 'University of Belgrade (RS)', 'emailHash': '18962bc9a433eacfeceb4863e440d6f6', 'db_id': 3586937, 'person_id': 3769727}"
Collective dynamics,parallel,Latest predictions from the EbyE NLO EKRT model,"Niemi, Harri",J. W. Goethe Universität,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Harri', 'last_name': 'Niemi', 'fullName': 'Niemi, Harri', 'id': '3528713', 'affiliation': 'J. W. Goethe Universität', 'emailHash': '0ea73183cf7e24ce545a24b1b073bf91', 'db_id': 3528713, 'person_id': 3642350}"
Collective dynamics,parallel,Dynamical initialization and hydrodynamic modeling of relativistic heavy-ion collisions,"Shen, Chun",Brookhaven National Laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chun', 'last_name': 'Shen', 'fullName': 'Shen, Chun', 'id': '3528722', 'affiliation': 'Brookhaven National Laboratory', 'emailHash': 'bd5e38cb34fad49cdbe84a0d053286af', 'db_id': 3528722, 'person_id': 3641487}"
Collective dynamics,parallel,Phenomenology of the nonlinear coupling of flow harmonics in heavy-ion collisions,"Giacalone, Giuliano",Université Paris-Saclay,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Giuliano', 'last_name': 'Giacalone', 'fullName': 'Giacalone, Giuliano', 'id': '3528728', 'affiliation': 'Université Paris-Saclay', 'emailHash': '5f06ab6fc7c77fa46b4af4ee406f6144', 'db_id': 3528728, 'person_id': 3637940}"
Collectivity in small systems,parallel,Long-range Collectivity in Small Collision Systems with Two- and Four-particle Correlations at STAR,"Huang, Shengli",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Shengli', 'last_name': 'Huang', 'fullName': 'Huang, Shengli', 'id': '3580449', 'affiliation': 'Stony Brook University', 'emailHash': 'a29485ad741f0a83800763f4d5933fb4', 'db_id': 3580449, 'person_id': 3763522}"
Collectivity in small systems,parallel,Multi-particle correlations and collectivity in $pA$ collisions from an initial state parton model,"Mace, Mark",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mark', 'last_name': 'Mace', 'fullName': 'Mace, Mark', 'id': '3528779', 'affiliation': 'Stony Brook University', 'emailHash': 'f19c69d8aa8f0d234975c59ac5321ad6', 'db_id': 3528779, 'person_id': 3630888}"
Collectivity in small systems,parallel,Microscopic collectivity: The ridge and strangeness enhancement from string-string interactions in Pythia8,"Bierlich, Christian",Lund University (SE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Christian', 'last_name': 'Bierlich', 'fullName': 'Bierlich, Christian', 'id': '3528807', 'affiliation': 'Lund University (SE)', 'emailHash': '8c677c0e697c771b7181660321fe7813', 'db_id': 3528807, 'person_id': 3644653}"
Correlations and fluctuations,parallel,Investigating correlated fluctuations of conserved charges with cross-cumulants and net-lambda fluctuations in Pb-Pb collisions at ALICE,"Ohlson, Alice",Ruprecht Karls Universitaet Heidelberg (DE),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alice', 'last_name': 'Ohlson', 'fullName': 'Ohlson, Alice', 'id': '3553683', 'affiliation': 'Ruprecht Karls Universitaet Heidelberg (DE)', 'emailHash': '28ce56a6f614c5d9d1e7fb9a94073012', 'db_id': 3553683, 'person_id': 3643816}"
Correlations and fluctuations,parallel,Three-dimensional femtoscopy with two identical pions and pion-kaon pairs in Pb-Pb collisions from the LHC ALICE experiment,"Pandey, Ashutosh Kumar",IIT- Indian Institute of Technology (IN),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ashutosh Kumar', 'last_name': 'Pandey', 'fullName': 'Pandey, Ashutosh Kumar', 'id': '3553641', 'affiliation': 'IIT- Indian Institute of Technology (IN)', 'emailHash': 'd1e581f7a3b51dab904e23845daf05d0', 'db_id': 3553641, 'person_id': 3640709}"
Correlations and fluctuations,parallel,Centrality and impact parameter  in nucleus-nucleus collisions,"Ollitrault, Jean-Yves",CNRS,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Yves', 'last_name': 'Ollitrault', 'fullName': 'Ollitrault, Jean-Yves', 'id': '3528820', 'affiliation': 'CNRS', 'emailHash': 'd8868398cc0f87360f6bfb8a6cfad9f6', 'db_id': 3528820, 'person_id': 3640373}"
Correlations and fluctuations,parallel,Transverse and longitudinal event-by-event flow fluctuations of $v_1 - v_4$ in 2.76 and 5.02 TeV Pb+Pb collisions with the ATLAS detector,"Zhou, Mingliang",Stony brook Universty (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Mingliang', 'last_name': 'Zhou', 'fullName': 'Zhou, Mingliang', 'id': '3563325', 'affiliation': 'Stony brook Universty (US)', 'emailHash': '8b8acbdc0e759f4f31aa8ccfacd7b998', 'db_id': 3563325, 'person_id': 3642837}"
Correlations and fluctuations,parallel,Geometry and Dynamics in Heavy-ion Collisions Seen by the Femtoscopy in the STAR Experiment,"Siejka, Sebastian",Warsaw University of Technology,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sebastian', 'last_name': 'Siejka', 'fullName': 'Siejka, Sebastian', 'id': '3580450', 'affiliation': 'Warsaw University of Technology', 'emailHash': 'bfdf0101ae590f486c7e283c802af740', 'db_id': 3580450, 'person_id': 3763523}"
Electromagnetic and weak probes,parallel,Penetrating probes: Jets and photons in a non-equilibrium quark-gluon plasma,"Hauksson, Sigtryggur",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sigtryggur', 'last_name': 'Hauksson', 'fullName': 'Hauksson, Sigtryggur', 'id': '3528857', 'affiliation': 'McGill University', 'emailHash': 'a5335dda1ef1c75ebcd3ccec046c059b', 'db_id': 3528857, 'person_id': 3643969}"
Electromagnetic and weak probes,parallel,Evidence for light-by-light scattering in ultraperipheral PbPb collisions with CMS experiment,"d'Enterria, David",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'David', 'last_name': ""d'Enterria"", 'fullName': ""d'Enterria, David"", 'id': '3586928', 'affiliation': 'CERN', 'emailHash': 'e63c1b3f35217b05f8cef187247b42c0', 'db_id': 3586928, 'person_id': 3634483}"
Thermodynamics and hadron chemistry,parallel,Sub-threshold strangeness production measured with HADES,"Kornakov, Georgy",TU Darmstadt,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Georgy', 'last_name': 'Kornakov', 'fullName': 'Kornakov, Georgy', 'id': '3576597', 'affiliation': 'TU Darmstadt', 'emailHash': 'e1dfef048ce3029db9fb70b798cb4044', 'db_id': 3576597, 'person_id': 3760085}"
Electromagnetic and weak probes,parallel,Direct photons in relativistic heavy-ion collisions: Tomography at multiple energy scales,"Paquet, Jean-Francois",Duke University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Francois', 'last_name': 'Paquet', 'fullName': 'Paquet, Jean-Francois', 'id': '3528866', 'affiliation': 'Duke University', 'emailHash': '16704393ed0c4c4ecc9773234a76340c', 'db_id': 3528866, 'person_id': 3643092}"
High baryon density and astrophysics,parallel,Perspectives on strangeness physics with the CBM experiment at FAIR,"Iouri, Vassiliev",GSI,Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vassiliev', 'last_name': 'Iouri', 'fullName': 'Iouri, Vassiliev', 'id': '3528929', 'affiliation': 'GSI', 'emailHash': 'a5e4b6e791e51e4a2ac5431cfe766435', 'db_id': 3528929, 'person_id': 3645242}"
Initial state physics and approach to equilibrium,parallel,Isolated photon production in proton-nucleus collisions at forward rapidity,"Lappi, Tuomas",University of Jyvaskyla,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tuomas', 'last_name': 'Lappi', 'fullName': 'Lappi, Tuomas', 'id': '3528933', 'affiliation': 'University of Jyvaskyla', 'emailHash': '87ad43a34630eedf464200cebee1c285', 'db_id': 3528933, 'person_id': 3639952}"
Initial state physics and approach to equilibrium,parallel,Forward di-hadron back-to-back correlations in p+A collisions at RHIC and the LHC,"Marquet, Cyrille",CPHT - Ecole Polytechnique,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Cyrille', 'last_name': 'Marquet', 'fullName': 'Marquet, Cyrille', 'id': '3528957', 'affiliation': 'CPHT - Ecole Polytechnique', 'emailHash': '5e351fa0d2b6c8495dcfd34d9263c150', 'db_id': 3528957, 'person_id': 3637941}"
Initial state physics and approach to equilibrium,parallel,Charmonium production in ultra-peripheral heavy-ion collisions at LHCb,"Bursche, Albert","Universita e INFN, Cagliari (IT)",Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Albert', 'last_name': 'Bursche', 'fullName': 'Bursche, Albert', 'id': '3584388', 'affiliation': 'Universita e INFN, Cagliari (IT)', 'emailHash': '1e59978dad6643fb7f896deae59cca41', 'db_id': 3584388, 'person_id': 3767182}"
Jet modifications and high-pT hadrons,parallel,Measurements of jet fragmentation and the angular distributions of charged particles within and around jets in $pp$ and Pb+Pb with ATLAS,"Rybar, Martin",Univ. Illinois at Urbana Champaign (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Rybar', 'fullName': 'Rybar, Martin', 'id': '3563343', 'affiliation': 'Univ. Illinois at Urbana Champaign (US)', 'emailHash': 'b3e6c12fabc90ce0a37121aa6f8b6912', 'db_id': 3563343, 'person_id': 3703732}"
Jet modifications and high-pT hadrons,parallel,Precision Dijet Acoplanarity Tomography of the Chromo Structure of Perfect QCD Fluids,"Gyulassy, Miklos",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Miklos', 'last_name': 'Gyulassy', 'fullName': 'Gyulassy, Miklos', 'id': '3528976', 'affiliation': 'Columbia University', 'emailHash': '75bd1b66eb51ce57862622cb3a7096f7', 'db_id': 3528976, 'person_id': 3645452}"
Jet modifications and high-pT hadrons,parallel,Probing jet splitting and energy loss via groomed jets  in relativistic heavy-ion collisions,"Chang, Ning-Bo",Xinyang Normal University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ning-Bo', 'last_name': 'Chang', 'fullName': 'Chang, Ning-Bo', 'id': '3528981', 'affiliation': 'Xinyang Normal University', 'emailHash': '9cfe4479aae6fea36398397b22526a17', 'db_id': 3528981, 'person_id': 3640684}"
Jet modifications and high-pT hadrons,parallel,Identification of heavy quark antennae using groomed jet substructure,"Jung, Kurt Eduard",University of Illinois at Chicago (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kurt Eduard', 'last_name': 'Jung', 'fullName': 'Jung, Kurt Eduard', 'id': '3586919', 'affiliation': 'University of Illinois at Chicago (US)', 'emailHash': '662f67b3dc3c07c49324873e9c1e0c10', 'db_id': 3586919, 'person_id': 3769708}"
Jet modifications and high-pT hadrons,parallel,Probing properties of the medium using jet substructure techniques in pp and PbPb collisions at 5.02 TeV with CMS,"Chen, Yi",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yi', 'last_name': 'Chen', 'fullName': 'Chen, Yi', 'id': '3586932', 'affiliation': 'CERN', 'emailHash': '3284357439bf222dfeee4a1bbbd9609a', 'db_id': 3586932, 'person_id': 3647229}"
Jet modifications and high-pT hadrons,parallel,Medium response and jet shape modification in quark-gluon plasma,"Park, Chanwook",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chanwook', 'last_name': 'Park', 'fullName': 'Park, Chanwook', 'id': '3528999', 'affiliation': 'McGill University', 'emailHash': 'd956be6b47f834628800be0eeaa15e23', 'db_id': 3528999, 'person_id': 3647418}"
