Institute,Country
Florence University,India
Florida State University,USA
Frankfurt Institute for Advanced Studies,Goethe-University Frankfurt
Frankfurt Institute for Advanced Studies (FIAS),Germany
Frankfurt Institute of Advanced Studies,India
Frankfurt University,India
Fudan University,India
Fudan University (CN),India
GSI,Darmstadt
GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany
GSI - Helmholtzzentrum für Schwerionenforschung GmbH (DE),Germany
GSI / Frankfurt Uni,Germany
GSI Darmstadt,Germany
GSI/NNRC,Germany
GU Frankfurt,Germany
Georgia State University,USA
Gesellschaft fuer Schwerionenforschung mbH (GSI),Germany
Gettysburg College,USA
Giessen University,India
Goethe,Unknown
Goethe University,ITP
Goethe University / EMMI,India
Goethe University Frankfurt,India
Goethe University Frankfurt (DE),India
Goethe University Frankfurt and Frankfurt Institute for Advanced Studies (FIAS),Germany
Goethe Universität,Germany
Goethe-Universität Frankfurt,Germany
HADES,Unknown
Harvard,Unknown
Heidelberg University,Germany
Heidelberg University (DE),Germany
Heidelberg university(DE),Germany
Helsinki Institute of Physics,India
Helsinki Institute of Physics (FI),India
Henryk Niewodniczanski Inst. Nucl. Physics,PAN
High Energy Accelerator Research Organization (KEK),Japan
Hiroshima Univ,Japan
Hiroshima Univ.,Nagoya Univ.
Hiroshima University,India
Hiroshima University (JP),India
Huazhong Normal University,India
Hunan University,India
Hungarian Academy of Sciences (HU),Hungary
Huzhou University,India
ICREA & U. Barcelona,Spain
IFIN-HH Bucharest (RO),Romania
IFJ PAN,Unknown
IFJ PAN Krakow/ Rzeszow University,Poland
IFJ PAS,Unknown
IFT UAM/CSIC,Unknown
IGFAE,USC
IGFAE-USC,Unknown
IISER,Berhampur
IISER Berhampur,Unknown
IISER Tirupati,Unknown
IIT- Indian Institute of Technology (IN),India
IKF,Uni-Frankfurt
IKP Muenster,Unknown
IMPCAS/Texas A&M University,India
INFN,sezione di Torino (IT)
INFN - Padova (IT),Italy
INFN Cagliari,IPNL Lyon
INFN Padova,Italy
INFN Torino,Italy
INFN e Laboratori Nazionali di  Frascati (IT),Italy
INFN-Padova,Italy
INT,University of Washington
IOPP,Unknown
IPHC,CNRS-IN2P3
IPNO,Université Paris-Sud 11
IPhT,Unknown
IPhT - CEA,France
IPhT CEA/Saclay,France
IPhT Saclay,France
IPhT-Saclay,France
ISU,Unknown
ITP,University of Frankfurt am Main
Illinois at Urbana,USA
Indian Institute of Science Education and Research (IISER) Tirupati,Unknown
Indian Institute of Technology  Indore (IN),India
Indian Institute of Technology Gandhinagar,Unknown
Indian Institute of Technology Madras (IN),India
Indiana University,India
Indiana University & RIKEN BNL Research Center,USA
Inha University (KR),India
Institut Pluridisciplinaire Hubert  Curien (FR),France
Institut de Physique Théorique,CNRS/CEA
Institut fuer Kernphysik - Johann-Wolfgang-Goethe Univ.,Unknown
Institut fuer Kernphysik-Johann-Wolfgang-Goethe Univ.,Unknown
Institut fur Theoretische Physik,Goethe University
Institut für Theoretische Physik,Goethe-Universität Frankfurt
Institute for Nuclear Theory,University of Washington
Institute for Theoretical Physics,Goethe University
Institute for Theoretical Physics (ITP),Frankfurt am Main
Institute of Modern Physics,Fudan University
Institute of Modern Physics Chinese Academy of Sciences,Unknown
Institute of Nuclear Physics,Polish Academy of Sciences
Institute of Nuclear Physics PAN,India
Institute of Nuclear Physics Polish Academy of Sciences,Unknown
Institute of Nuclear Physics Polish Academy of Sciences (PL),Poland
Institute of Physics - University of Tsukuba,Japan
Institute of Physics Belgrade,University of Belgrade
Institute of Space Science (RO),India
Institute of modern physics,Chinese Academy of Sciencessti
Institute of nuclear Physics,Krakow
Instituto Galego de Física de Altas Enerxías (IGFAE),Unknown
Instituto Galego de Física de Altas Enerxías - Universidade de Santiago de Compostela,Chile
Instituto Superior Tecnico (IST) and CERN PH-TH,Switzerland
Instituto Superior Tecnico (PT),Portugal
Instituto de Ciencias Nucleares,Universidad Nacional Autonoma de Mexico
Instituto de Fisica Gleb Wataghin (IFGW) - Universidade Estadual de Campinas,Unknown
Instituto de Fisica Teorica (IFT)-Universidade Estadual Paulista,Unknown
Instituto de Fisica-Universidade de Sao Paulo,Brazil
Instituto de F´ısica,Universidade de S˜ao Paulo
Iowa State University,USA
Iowa State University (US),USA
J. W. Goethe Universität,Germany
JLU Giessen,Unknown
Jagiellonian University (PL),India
Japan Atomic Energy Agency,Unknown
Japan/Yukawa Institute,France
Johann Wolfgang Goethe-Universität,Germany
Johann Wolfgang Goethe-Universität Frankfurt am Main,Germany
Johann-Wolfgang-Goethe Univ.,Unknown
Johann-Wolfgang-Goethe Univ. (DE),Germany
Johannes Gutenberg Universitaet  Mainz (DE),Germany
Joint Inst. for Nuclear Research (RU),Russia
Joint Institute for  Nuclear Research (RU),Russia
Joint Institute for Nuclear Research,Dubna
Justus Liebig University Giessen,India
KEK,Japan
KFKI Research Institute for Particle and Nuclear Physics,Budapest
KFKI Research Institute for Particle and Nuclear Physics of the Hungarian Academy of Sciences,Unknown
KIT - Karlsruhe Institute of  Technology (DE),Germany
Karl-Franzens Universität Graz,Germany
Keio University,India
Kent State University,USA
Kent State University/Lawrence Berkeley National Laboratory,USA
Kent State Universtity,Unknown
Key Laboratory of Quark and Lepton Physics (MOE) and Institute of Particle Physics,Central China Normal University & Key Laboratory of Particle Physics and Particle Irradiation (MOE)
Kobayashi-Maskawa Institute for the Origin of Particles and the Universe (KMI)  and Department of Physics,Nagoya University
Korea University (KR),India
Kyoto Univ.,Japan
Kyoto University,India
LANL,USA
LBL,CCNU
LBNL,USA
LBNL/CCNU,USA
LBNL/USTC,China
LIP,Lisbon
LIP (PT),Portugal
LIP - Lisboa / ULisboa - IST,Portugal
LIP-Lisbon & CERN TH,Switzerland
LIP/IST,Unknown
LLNL,USA
LLNL and UC Davis,USA
LLR,École Polytechnique (FR)
LLR - Ecole Polytechnique,IN2P3-CNRS
LPSC - Grenoble,Unknown
LPTHE,UPMC Univ. Paris 6
Laboratoire de Physique Corpusculaire,Clermont-Ferrand
Laboratoire de Physique Subatomique et des Technologies Associe,Unknown
Laboratoire de Physique Subatomique et des Technologies Associees,Unknown
Laboratoire de l'Accelerateur Lineaire (FR),France
Landau Institute,France
Lawrence Berkeley  National Laboratory (LBNL),USA
Lawrence Berkeley National Lab,USA
Lawrence Berkeley National Lab (LBNL),USA
Lawrence Berkeley National Lab. (LBNL),USA
Lawrence Berkeley National Lab. (US),USA
Lawrence Berkeley National Laboratory,USA
Lawrence Livermore Nat. Laboratory (US),USA
Lawrence Livermore National Laboratory,USA
Lawrence Technological University,India
Lehigh University,India
Los Alamos National Lab,USA
Los Alamos National Laboratory,T-2
Los Alamos National Laboratory (LANL)-Laboratoire de Physique Subatomique  et Cosmologie (LPSC,Grenoble)
Los Alamos National Laboratory (US),USA
Lund University,India
Lund University (SE),India
MIT,USA
Massachusetts Inst. of Technology (MIT),USA
Massachusetts Inst. of Technology (MIT)  Heacy Ion group (CMS),USA
Massachusetts Inst. of Technology (US),USA
Massachusetts Institute of Technology,India
Max Planck Institut,France
McGill,Unknown
McGill University,India
Michigan State University,USA
NIKHEF,Netherlands
NIKHEF (NL),Netherlands
NIKHEF - Utrecht University,India
NIKHEF and University of Utrecht (NL),USA
NISER,Jatni
NRC Kurchatov Institute PNPI (RU),Russia
Nagoya University,India
Nanjing University of Science & Technology,USA
Nara Women's University (JP),India
National Center for Nuclear Research,Unknown
National Cheng Kung University (TW),Taiwan
National Institute of Science  Education and Research (IN),India
National Institute of Science  Education and Research (NISER) (IN),India
National Institute of Science Education and Research,India
National Institute of Science Education and Research (NISER),INDIA
National Institution of Science Education and Research,Unknown
National Nuclear Research Center (AZ),Azerbaijan
National Research Centre Kurchatov Institute (RU),Russia
National Research Nuclear  University MEPhI (RU),Russia
Niels Bohr Institute,University of Copenhagen
Niels Bohr Institute (DK),France
Nikhef,Amsterdam
Nikhef National institute  for subatomic physics (NL),Netherlands
Nikhef/VU Amsterdam,Netherlands
Nishina Center,RIKEN
North Carolina State University,USA
North Caroline State University,USA
Northwestern University / Argonne National Laboratory,Unknown
Nuclear Physics Institute,France
ODU/JLab,Unknown
ORNL,USA
Oak Ridge National Laboratory -  (US),USA
Ohio State University,USA
Ohio State University (US),USA
Ohio University (US),India
Organisation européenne pour la recherche nucléaire (CERN),Switzerland
Osaka University,India
PHENIX Collaboration,Unknown
PMF,Unknown
Peking University,India
Penn State,Unknown
Penn State University,USA
Pennsylvania State University (US),USA
Peter the Great Saint-Petersburg Polytechnic University,Unknown
Petersburg Nuclear Physics Institut (RU),Russia
PhD student,Unknown
Physics Department University of ROMA TRE - Rome -Italy,Italy
Physics Department-University of Illinois at Chicago,USA
Physics Dept.,Pupin Physics Lab.-Columbia University-Unknown
Physics department of UC Berkeley,USA
Polish Academy of Sciences (PL),Poland
Politecnico di Torino (IT),Italy
Politecnico di Torino and INFN Torino (IT),Italy
Purdue University,India
Purdue University (US),India
Pusan National University (KR),India
Pusan National University (ROK),India
RBRC,Unknown
RIKEN,Japan
RIKEN BNL,Japan
RIKEN Nishina Center,Japan
RIKEN-BNL Research Center,USA
Relativistic Heavy Ion Group,Department of Physics - Ohio State U.
Research Division and ExtreMe Matter Institute EMMI,GSI Helmholtzzentrum für Schwerionenforschung
Rice University,India
Rice University (US),India
Roma Sapienza University,India
Ruprecht Karls Universitaet Heidelberg (DE),Germany
Ruprecht-Karls-Universitaet Heidelberg (DE),Germany
Rutgers University,India
SINAP,BNL
SINAP&BNL,USA
SINAP/BNL,USA
SINAP/LBNL,USA
SPhT,Saclay
STAR Collaboration,Unknown
SUBATECH,Nantes
SUBATECH (CNRS/IN2P3),France
SUBATECH Nantes,France
SUNY,Stony Brook
Saha Institute of Nuclear Physics (IN),HBNI
Sejong University (KR),India
Sezione di Padova (INFN)-Universita e INFN,Italy
Shandong University,India
Shandong University & Brookhaven National Laboratory,USA
Shandong University (SDU) & Stony Brook University,USA
Shandong University at Weihai,India
Shanghai INstitute of Applied Physics (SINAP),CAS
Shanghai Institute of Applied Physics,Chinese Academy of Sciences
Shanghai Institute of Applied Physics (SINAP),China
Sophia Univ,Japan
Sophia Univ.,Japan
Sophia University,Japan
Sophia university,India
South China Normal Univeristy,Unknown
South China Normal University,India
South China Normal University (CN),China
St Petersburg State University (RU),USA
St. Petersburg State Technical University,Unknown
Stanford University,India
State University of New York (US),USA
State University of New York at Stony Brook,USA
Stefan Meyer Institute for Subatomic Physics (SMI),Austrian Academy of Sciences (AT)
Stony Brook U./BNL,USA
Stony Brook University,India
Stony Brook University (US),India
Stony Brook University and BNL,India
Stony Brook and BNL,USA
Stony brook Universty (US),USA
Subatech,IN2P3-CNRS (FR)
Subatech/CNRS,France
Suranaree University of Technology,USA
Swansea University,India
TAMU,Unknown
TIFR,Mumbai
TRIUMF,Unknown
TU Darmstadt,Germany
TU Darmstadt / GSI,Germany
TU Wien,Unknown
TU Wien (AT),Austria
Tata Institute,Mumbai
Tata Institute of Fundamental Research,India
Technion,Israel
Technische Universitaet Darmstadt (DE),Germany
Technische Universitaet Muenchen,Unknown
Technische Universitaet Muenchen (DE),Germany
Technische Universitat Munchen (DE),Germany
Technische Universität Darmstadt,Germany
Texas A & M University,India
Texas A&M University,India
Texas A&M University + RBRC,India
The Ohio State University,USA
The University of Kansas (US),USA
The University of Tokyo,Japan
Torino University,India
Tsinghua University,India
Tsinghua University (CN),India
Tsukuba University,India
UC Davis,USA
UCLA,For the STAR Collaboration
UGR/FIAS,Unknown
UIC,Unknown
UNESP - Universidade Estadual  Paulista (BR),Brazil
UNIVERSITY OF ILLINOIS AT CHICAGO,USA
USP,Unknown
USTC,China
USTC && BNL,China
USTC/BNL,China
UTFSM,Unknown
UU/NIKHEF,Netherlands
Uiniversity of california,Los Angeles
Uni Frankfurt,Germany
Univ. + INFN Cagliari,Italy
Univ. Blaise Pascal Clermont-Fe. II (FR),France
Univ. Frankfurt,Germany
Univ. Illinois at Urbana Champaign (US),USA
Univ. Tsukuba,Japan
Univ. del Piemonte Orientale,Dip.Scienze eTecnologie
Universidad Nacional Autonoma (MX),Mexico
Universidad de Granada (ES),Spain
Universidad de Santiago de Compostela,Chile
Universidade Federal Fluminense,Unknown
Universidade Federal Fluminense (UFF),Rio de Janeiro
Universidade Federal do Rio de Janeiro,Unknown
Universidade de Lisboa (PT),Portugal
Universidade de Santiago de Compostela,Chile
Universidade de Santiago de Compostela (ES),Spain
Universidade de Santiago de Compostela - IGFAE,Chile
Universidade de Sao Paulo (BR),Brazil
Universidade de Sao Paulo (BR) and Utrecht University (NL),Netherlands
Universidade de São Paulo,Brazil
Universita & INFN,Torino
Universita e INFN,Trieste (IT)
Universita e INFN (IT),Italy
Universita e INFN Torino (IT),Italy
Universita e INFN Trieste (IT),Italy
Universita` degli studi di Cagliari and INFN,Cagliari
Universitaet Bielefeld,Germany
Universitat de Barcelona,Spain
Universite Claude Bernard-Lyon I (FR),France
Universite de Paris-Sud 11 (FR),France
Universiteit Utrecht,Netherlands
University / INFN Catania,India
University of Barcelona (ES),USA
University of Belgrade (RS),USA
University of Bergen,Norway
University of Bergen (NO),USA
University of Bielefeld,USA
University of Birmingham (GB),USA
University of California,Riverside
University of California (UCD),USA
University of California - Los Angeles,USA
University of California Berkeley (US),USA
University of California Davis (US),USA
University of California Los Angeles,USA
University of Campinas UNICAMP (BR),USA
University of Cape Town,USA
University of Catania,USA
University of Catania (Italy),USA
University of Cincinnati (US),USA
University of Colorado,Boulder
University of Colorado Boulder,USA
University of Colorado Boulder (US),USA
University of Colorado at Boulder,USA
University of Copenhagen (DK),USA
University of Florence,Italy
University of Florence & INFN Florence,USA
University of Frankfurt,USA
University of Giessen,Germany
University of Heidelberg,USA
University of Houston,USA
University of Houston (US),USA
University of Illinois,USA
University of Illinois Chicago,USA
University of Illinois Urbana-Champaign,USA
University of Illinois at Chicago,USA
University of Illinois at Chicago (US),USA
University of Illinois at Urbana Champaign,USA
University of Illinois at Urbana-Champaign,USA
University of Jyvaskyla,USA
University of Jyvaskyla (FI),USA
University of Jyväskylä,USA
University of Kansas,USA
University of Kansas (US),USA
University of Liverpool (GB),USA
University of Maryland,College Park
University of Maryland (US),USA
University of Messina (IT),INFN Catania (IT)
University of Michigan,USA
University of Minnesota,USA
University of Minnesota (US),USA
University of Mississippi,Texas A&M University
University of North Carolina,Chapel Hill
University of Oslo (NO),USA
University of Oxford,USA
University of Oxford (GB),USA
University of Pisa,USA
University of Rajasthan (IN),USA
University of Santiago de Compostela,USA
University of Sao Paulo,USA
University of Science and  Technology of China (CN),China
University of Science and Technology of China,China
University of Science and Technology of China (CN),China
University of Science and Technology of China (USTC),China
University of Science and Technology of China and Brookhaven National Laboratory,USA
University of Science and Technology of China and Purdue University,USA
University of Silesia (PL),USA
University of Stavanger,USA
University of São Paulo,USA
University of Tennessee,Knoxville
University of Tennessee (US),USA
University of Texas at Austin (US),USA
University of Tokyo,Japan
University of Tokyo (JP),Japan
University of Tsukuba,RIKEN Nishina Center
University of Tsukuba (JP),USA
University of Turin and INFN (IT),USA
University of Utrecht (NL),USA
University of Virginia,USA
University of Warsaw (PL),USA
University of Washington,USA
University of Wroclaw,Institute of Theoretical Physics
University of Wrocław,USA
University of Wuppertal,USA
University of Zurich (CH),USA
University of illinois at chicago,USA
Università La Sapienza di Roma,Italy
Università degli Studi di Catania,Italy
Università di Catania,INFN Catania
Università di Ferrara,INFN Ferrara
Universität Bern,Germany
Universität Bielefeld,Germany
Universität Heidelberg,Germany
Université Paris-Saclay,France
Université Paris-Saclay (FR),France
Universiyu of Oslo,Norway
Univerzita Mateja Bela (SK),Slovakia
Unversity of Florence,Italy
Utrecht University,India
Utrecht University (NL),India
VECC,India
Vanderbilt University,India
Vanderbilt University (US),India
Variable Energy Cyclotron Centre,Kolkata
Warsaw University of Technology,USA
Warsaw University of Technology (PL),USA
Warsaw Universty of Technology,Poland
Wayne State University,USA
Wayne State University (US),USA
Wayne state university,USA
Weizmann Institute of Science,India
Weizmann Institute of Science (IL),India
West University of Timisoara,USA
Westfaelische Wilhelms-Universitaet Muenster (DE),Germany
Westfälische Wilhelms-Universität Münster,Unknown
Wigner RCP,Budapest (HU)
Wigner Research Centre for Physics (Wigner RCP) (HU),Hungary
Wuppertal University,India
Xinyang Normal University,India
Yale University,India
Yale University  & Brookhaven National Laboratory,USA
Yale University (US),India
Yale University-Unknown-Unknown,India
Yonsei University,India
for the STAR collaboration,Unknown
iit-bombay,Unknown
lapp-Laboratoire d'Annecy-le-Vieux de Physique des Particules-In,Unknown
lbnl,USA
stony brook university,India
subatech,France
